id,type,group,name
0,7,ctrlINDI,u_act_dyn.r
1,7,ctrlINDI,du.p
2,5,gyro,zRaw
3,7,ctrlINDI,du.r
4,7,gyro,yVariance
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,3,pwm,m3_pwm
9,7,ctrlINDI,rate_d[2]
10,2,crtp,rxRate
11,3,motor,m2
12,7,pm,vbat
13,3,motor,m4
14,1,kalman,inFlight
15,2,pm,extVbatMV
16,7,kalman,stateY
17,7,kalman,stateZ
18,4,pm,state
19,7,kalman,statePY
20,7,kalman,statePZ
21,7,kalman,stateD0
22,7,kalman,stateD1
23,1,sitAw,FFAccWZDetected
24,7,kalman,varX
25,1,sitAw,TuDetected
26,2,extrx,ch0
27,7,kalman,varPX
28,7,kalman,varPY
29,2,extrx,ch3
30,2,extrx,thrust
31,7,kalman,varD1
32,7,kalman,varD2
33,7,extrx,yaw
34,7,kalman,q1
35,2,range,front
36,2,range,back
37,2,range,up
38,2,range,left
39,7,kalman,rtBaro
40,7,kalman,rtFinal
41,7,kalman,rtApnd
42,7,kalman,rtRej
43,7,ext_pos,Z
44,2,locSrvZ,tick
45,7,pid_attitude,roll_outP
46,7,kalman_states,vy
47,7,kalman_pred,predNX
48,7,kalman_pred,predNY
49,7,pid_attitude,pitch_outI
50,7,kalman_pred,measNY
51,6,outlierf,lhWin
52,7,pid_attitude,yaw_outI
53,7,pid_attitude,yaw_outD
54,7,pid_rate,roll_outP
55,7,gps,hMSL
56,7,gps,hAcc
57,7,pid_rate,pitch_outP
58,7,pid_rate,pitch_outI
59,1,loco,mode
60,7,pid_rate,yaw_outP
61,7,ranging,distance0
62,7,pid_rate,yaw_outD
63,7,sensfusion6,qw
64,7,ranging,distance3
65,7,sensfusion6,qy
66,7,sensfusion6,qz
67,7,ranging,distance6
68,7,sensfusion6,gravityY
69,7,ranging,pressure0
70,7,sensfusion6,accZbase
71,1,sensfusion6,isInit
72,7,ranging,pressure3
73,7,ranging,pressure4
74,7,acc,y
75,7,acc,z
76,7,ranging,pressure7
77,1,twr,rangingSuccessRate0
78,7,baro,pressure
79,1,twr,rangingSuccessRate1
80,7,ctrltarget,x
81,7,ctrltarget,y
82,7,ctrltarget,z
83,1,twr,rangingSuccessRate3
84,7,ctrltarget,vy
85,7,ctrltarget,vz
86,1,twr,rangingPerSec4
87,7,ctrltarget,ay
88,1,twr,rangingPerSec5
89,7,tdoa2,d7-0
90,7,tdoa2,d0-1
91,7,tdoa2,d1-2
92,7,tdoa2,d2-3
93,7,tdoa2,d3-4
94,5,ctrltargetZ,z
95,5,ctrltargetZ,vx
96,5,ctrltargetZ,vy
97,5,ctrltargetZ,vz
98,5,ctrltargetZ,ax
99,5,ctrltargetZ,ay
100,7,tdoa2,cc3
101,7,tdoa2,cc4
102,7,gyro,y
103,7,tdoa2,cc6
104,7,tdoa2,cc7
105,7,health,motorVarYM1
106,2,tdoa2,dist0-1
107,7,health,motorVarYM2
108,7,health,motorVarXM3
109,2,tdoa2,dist3-4
110,2,tdoa2,dist4-5
111,7,health,motorVarYM4
112,1,health,motorPass
113,7,tdoaEngine,stRx
114,7,mag,x
115,7,tdoaEngine,stTime
116,7,mag,z
117,7,stabilizer,roll
118,7,tdoaEngine,stHit
119,7,stabilizer,yaw
120,7,stabilizer,thrust
121,7,stabilizer,rtStab
122,3,stabilizer,intToOut
123,7,stateEstimate,x
124,6,outlierf,bucket1
125,7,stateEstimate,z
126,7,stateEstimate,vx
127,7,stateEstimate,vy
128,7,stateEstimate,vz
129,7,outlierf,errD
130,7,stateEstimate,ay
131,5,motion,deltaX
